 Example 3a - Comparison with the 2-D analytical solution

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = -


 Time:     50.0000

    i    n    x      z    Code     Q          v           h       th      Conc
   23  308   51.0 -200.0    2  -.900E-01   .300E-01         .0   .300  .275E-16
   24  309   55.0 -200.0    2  -.135E+00   .300E-01         .0   .300  .211E-16
   25  310   60.0 -200.0    2  -.180E+00   .300E-01         .0   .300  .149E-16
   26  311   67.0 -200.0    2  -.225E+00   .300E-01         .0   .300  .925E-17
   27  312   75.0 -200.0    2  -.270E+00   .300E-01         .0   .300  .495E-17
   28  313   85.0 -200.0    2  -.375E+00   .300E-01         .0   .300  .202E-17
   29  314  100.0 -200.0    2  -.525E+00   .300E-01         .0   .300  .639E-18
   30  315  120.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .263E-18


 Time:    100.0000

    i    n    x      z    Code     Q          v           h       th      Conc
                                 [V/T]      [L/T]        [L]     [-]     [M/L3]

    1    1     .0     .0    1   .150E+00  -.300E-01         .0   .300  .100E+01
    2    2   10.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    3    3   20.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    4    4   30.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    5    5   40.0     .0    1   .225E+00  -.300E-01         .0   .300  .100E+01
    6    6   45.0     .0    1   .135E+00  -.300E-01         .0   .300  .100E+01
    7    7   49.0     .0    1   .900E-01  -.300E-01         .0   .300  .100E+01
    8    8   51.0     .0    1   .900E-01  -.300E-01         .0   .300 -.211E-30
    9    9   55.0     .0    1   .135E+00  -.300E-01         .0   .300 -.147E-31
   10   10   60.0     .0    1   .180E+00  -.300E-01         .0   .300 -.696E-32
   11   11   67.0     .0    1   .225E+00  -.300E-01         .0   .300 -.215E-32
   12   12   75.0     .0    1   .270E+00  -.300E-01         .0   .300 -.496E-33
   13   13   85.0     .0    1   .375E+00  -.300E-01         .0   .300 -.747E-34
   14   14  100.0     .0    1   .525E+00  -.300E-01         .0   .300 -.326E-35
   15   15  120.0     .0    1   .300E+00  -.300E-01         .0   .300  .000E+00
   16  301     .0 -200.0    2  -.150E+00   .300E-01         .0   .300  .894E-12
   17  302   10.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .101E-11
   18  303   20.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .126E-11
   19  304   30.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .142E-11
   20  305   40.0 -200.0    2  -.225E+00   .300E-01         .0   .300  .145E-11
   21  306   45.0 -200.0    2  -.135E+00   .300E-01         .0   .300  .136E-11
   22  307   49.0 -200.0    2  -.900E-01   .300E-01         .0   .300  .119E-11
   23  308   51.0 -200.0    2  -.900E-01   .300E-01         .0   .300  .110E-11
   24  309   55.0 -200.0    2  -.135E+00   .300E-01         .0   .300  .907E-12
   25  310   60.0 -200.0    2  -.180E+00   .300E-01         .0   .300  .697E-12
   26  311   67.0 -200.0    2  -.225E+00   .300E-01         .0   .300  .475E-12
   27  312   75.0 -200.0    2  -.270E+00   .300E-01         .0   .300  .289E-12
   28  313   85.0 -200.0    2  -.375E+00   .300E-01         .0   .300  .142E-12
   29  314  100.0 -200.0    2  -.525E+00   .300E-01         .0   .300  .539E-13
   30  315  120.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .260E-13


 Time:    365.0000

    i    n    x      z    Code     Q          v           h       th      Conc
                                 [V/T]      [L/T]        [L]     [-]     [M/L3]

    1    1     .0     .0    1   .150E+00  -.300E-01         .0   .300  .100E+01
    2    2   10.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    3    3   20.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    4    4   30.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    5    5   40.0     .0    1   .225E+00  -.300E-01         .0   .300  .100E+01
    6    6   45.0     .0    1   .135E+00  -.300E-01         .0   .300  .100E+01
    7    7   49.0     .0    1   .900E-01  -.300E-01         .0   .300  .100E+01
    8    8   51.0     .0    1   .900E-01  -.300E-01         .0   .300 -.213E-30
    9    9   55.0     .0    1   .135E+00  -.300E-01         .0   .300 -.182E-31
   10   10   60.0     .0    1   .180E+00  -.300E-01         .0   .300 -.107E-31
   11   11   67.0     .0    1   .225E+00  -.300E-01         .0   .300 -.510E-32
   12   12   75.0     .0    1   .270E+00  -.300E-01         .0   .300 -.227E-32
   13   13   85.0     .0    1   .375E+00  -.300E-01         .0   .300 -.947E-33
   14   14  100.0     .0    1   .525E+00  -.300E-01         .0   .300 -.187E-33
   15   15  120.0     .0    1   .300E+00  -.300E-01         .0   .300 -.101E-34
   16  301     .0 -200.0    2  -.150E+00   .300E-01         .0   .300  .727E-05
   17  302   10.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .717E-05
   18  303   20.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .750E-05
   19  304   30.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .747E-05
   20  305   40.0 -200.0    2  -.225E+00   .300E-01         .0   .300  .685E-05
   21  306   45.0 -200.0    2  -.135E+00   .300E-01         .0   .300  .632E-05
   22  307   49.0 -200.0    2  -.900E-01   .300E-01         .0   .300  .577E-05
   23  308   51.0 -200.0    2  -.900E-01   .300E-01         .0   .300  .551E-05
   24  309   55.0 -200.0    2  -.135E+00   .300E-01         .0   .300  .492E-05
   25  310   60.0 -200.0    2  -.180E+00   .300E-01         .0   .300  .420E-05
   26  311   67.0 -200.0    2  -.225E+00   .300E-01         .0   .300  .327E-05
   27  312   75.0 -200.0    2  -.270E+00   .300E-01         .0   .300  .238E-05
   28  313   85.0 -200.0    2  -.375E+00   .300E-01         .0   .300  .152E-05
   29  314  100.0 -200.0    2  -.525E+00   .300E-01         .0   .300  .799E-06
   30  315  120.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .492E-06
