 Example 1 - Column Test


 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -


 Time  ***       .0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...
   99      .0    12.0    -150.0    -150.0
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -150.0    -150.0
  107      .0     4.0    -150.0    -150.0
  109      .0     2.0    -150.0    -150.0
  111      .0      .0    -149.9    -150.0


 Time  ***    900.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8        .3        .3
    5      .0    60.5       -.2       -.2
    7      .0    60.3       -.7       -.7
    9      .0    60.0      -1.2      -1.2
   11      .0    59.5      -2.2      -2.2
   13      .0    59.0      -3.2      -3.2
   15      .0    58.0      -5.1      -5.1
   17      .0    57.0      -7.1      -7.1
   19      .0    56.0      -9.0      -9.0
   21      .0    55.0     -10.9     -10.9
   23      .0    54.0     -12.8     -12.8
   25      .0    53.0     -14.7     -14.7
   27      .0    52.0     -16.4     -16.5
   29      .0    51.0     -18.3     -18.3
   31      .0    50.0     -20.4     -20.5
   33      .0    49.0     -23.3     -23.3
   35      .0    48.0     -27.5     -27.5
   37      .0    47.0     -34.2     -34.3
   39      .0    46.0     -46.8     -46.4
   41      .0    45.0     -76.1     -72.2
   43      .0    44.0    -132.2    -124.0
   45      .0    43.0    -149.1    -148.5
   47      .0    42.0    -150.0    -149.9
   49      .0    41.0    -150.0    -150.0
   51      .0    40.0    -150.0    -150.0
   53      .0    39.0    -150.0    -150.0
   55      .0    38.0    -150.0    -150.0
   57      .0    37.0    -150.0    -150.0
   59      .0    36.0    -150.0    -150.0
   61      .0    35.0    -150.0    -150.0
   63      .0    34.0    -150.0    -150.0
   65      .0    33.0    -150.0    -150.0
   67      .0    32.0    -150.0    -150.0
   69      .0    31.0    -150.0    -150.0
   71      .0    30.0    -150.0    -150.0
   73      .0    29.0    -150.0    -150.0
   75      .0    28.0    -150.0    -150.0
   77      .0    27.0    -150.0    -150.0
   79      .0    26.0    -150.0    -150.0
   81      .0    25.0    -150.0    -150.0
   83      .0    24.0    -150.0    -150.0
   85      .0    23.0    -150.0    -150.0
   87      .0    22.0    -150.0    -150.0
   89      .0    21.0    -150.0    -150.0
   91      .0    20.0    -150.0    -150.0
   93      .0    18.0    -150.0    -150.0
   95      .0    16.0    -150.0    -150.0
   97      .0    14.0    -150.0    -150.0
   99      .0    12.0    -150.0    -150.0
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -150.0    -150.0
  107      .0     4.0    -150.0    -150.0
  109      .0     2.0    -149.9    -149.9
  111      .0      .0    -149.2    -149.3


 Time  ***   1800.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8        .4        .4
    5      .0    60.5        .1        .1
    7      .0    60.3       -.2       -.2
    9      .0    60.0       -.5       -.5
   11      .0    59.5      -1.2      -1.2
   13      .0    59.0      -1.8      -1.8
   15      .0    58.0      -3.1      -3.1
   17      .0    57.0      -4.4      -4.4
   19      .0    56.0      -5.7      -5.7
   21      .0    55.0      -7.0      -7.0
   23      .0    54.0      -8.3      -8.3
   25      .0    53.0      -9.6      -9.6
   27      .0    52.0     -10.9     -10.9
   29      .0    51.0     -12.1     -12.1
   31      .0    50.0     -13.3     -13.3
   33      .0    49.0     -14.5     -14.5
   35      .0    48.0     -15.7     -15.7
   37      .0    47.0     -16.8     -16.8
   39      .0    46.0     -18.0     -18.0
   41      .0    45.0     -19.3     -19.3
   43      .0    44.0     -20.9     -20.9
   45      .0    43.0     -22.9     -23.0
   47      .0    42.0     -25.6     -25.7
   49      .0    41.0     -29.4     -29.4
   51      .0    40.0     -35.0     -35.0
   53      .0    39.0     -44.4     -44.3
   55      .0    38.0     -63.0     -61.7
   57      .0    37.0    -103.7     -97.4
   59      .0    36.0    -143.6    -140.3
   61      .0    35.0    -149.6    -149.4
   63      .0    34.0    -150.0    -150.0
   65      .0    33.0    -150.0    -150.0
   67      .0    32.0    -150.0    -150.0
   69      .0    31.0    -150.0    -150.0
   71      .0    30.0    -150.0    -150.0
   73      .0    29.0    -150.0    -150.0
   75      .0    28.0    -150.0    -150.0
   77      .0    27.0    -150.0    -150.0
   79      .0    26.0    -150.0    -150.0
   81      .0    25.0    -150.0    -150.0
   83      .0    24.0    -150.0    -150.0
   85      .0    23.0    -150.0    -150.0
   87      .0    22.0    -150.0    -150.0
   89      .0    21.0    -150.0    -150.0
   91      .0    20.0    -150.0    -150.0
   93      .0    18.0    -150.0    -150.0
   95      .0    16.0    -150.0    -150.0
   97      .0    14.0    -150.0    -150.0
   99      .0    12.0    -150.0    -150.0
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -150.0    -150.0
  107      .0     4.0    -150.0    -150.0
  109      .0     2.0    -149.8    -149.8
  111      .0      .0    -148.7    -148.8


 Time  ***   2700.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8        .5        .5
    5      .0    60.5        .3        .3
    7      .0    60.3        .0        .0
    9      .0    60.0       -.2       -.2
   11      .0    59.5       -.7       -.7
   13      .0    59.0      -1.3      -1.3
   15      .0    58.0      -2.3      -2.3
   17      .0    57.0      -3.3      -3.3
   19      .0    56.0      -4.3      -4.3
   21      .0    55.0      -5.3      -5.3
   23      .0    54.0      -6.3      -6.3
   25      .0    53.0      -7.3      -7.3
   27      .0    52.0      -8.3      -8.3
   29      .0    51.0      -9.3      -9.3
   31      .0    50.0     -10.3     -10.3
   33      .0    49.0     -11.3     -11.3
   35      .0    48.0     -12.2     -12.2
   37      .0    47.0     -13.2     -13.2
   39      .0    46.0     -14.1     -14.1
   41      .0    45.0     -15.0     -15.0
   43      .0    44.0     -15.9     -15.9
   45      .0    43.0     -16.7     -16.7
   47      .0    42.0     -17.6     -17.6
   49      .0    41.0     -18.6     -18.6
   51      .0    40.0     -19.7     -19.7
   53      .0    39.0     -21.0     -21.0
   55      .0    38.0     -22.6     -22.6
   57      .0    37.0     -24.6     -24.6
   59      .0    36.0     -27.3     -27.4
   61      .0    35.0     -31.1     -31.1
   63      .0    34.0     -36.5     -36.5
   65      .0    33.0     -45.3     -45.3
   67      .0    32.0     -61.9     -61.0
   69      .0    31.0     -96.6     -91.9
   71      .0    30.0    -139.2    -135.2
   73      .0    29.0    -149.2    -148.8
   75      .0    28.0    -149.9    -149.9
   77      .0    27.0    -150.0    -150.0
   79      .0    26.0    -150.0    -150.0
   81      .0    25.0    -150.0    -150.0
   83      .0    24.0    -150.0    -150.0
   85      .0    23.0    -150.0    -150.0
   87      .0    22.0    -150.0    -150.0
   89      .0    21.0    -150.0    -150.0
   91      .0    20.0    -150.0    -150.0
   93      .0    18.0    -150.0    -150.0
   95      .0    16.0    -150.0    -150.0
   97      .0    14.0    -150.0    -150.0
   99      .0    12.0    -150.0    -150.0
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -150.0    -150.0
  107      .0     4.0    -149.9    -149.9
  109      .0     2.0    -149.6    -149.6
  111      .0      .0    -148.3    -148.3


 Time  ***   3600.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8        .5        .5
    5      .0    60.5        .3        .3
    7      .0    60.3        .1        .1
    9      .0    60.0       -.1       -.1
   11      .0    59.5       -.5       -.5
   13      .0    59.0       -.9       -.9
   15      .0    58.0      -1.8      -1.8
   17      .0    57.0      -2.6      -2.6
   19      .0    56.0      -3.4      -3.4
   21      .0    55.0      -4.3      -4.3
   23      .0    54.0      -5.1      -5.1
   25      .0    53.0      -6.0      -6.0
   27      .0    52.0      -6.8      -6.8
   29      .0    51.0      -7.6      -7.6
   31      .0    50.0      -8.5      -8.5
   33      .0    49.0      -9.3      -9.3
   35      .0    48.0     -10.1     -10.1
   37      .0    47.0     -10.9     -10.9
   39      .0    46.0     -11.7     -11.7
   41      .0    45.0     -12.5     -12.5
   43      .0    44.0     -13.3     -13.3
   45      .0    43.0     -14.1     -14.1
   47      .0    42.0     -14.8     -14.8
   49      .0    41.0     -15.5     -15.5
   51      .0    40.0     -16.2     -16.2
   53      .0    39.0     -16.9     -17.0
   55      .0    38.0     -17.7     -17.7
   57      .0    37.0     -18.5     -18.5
   59      .0    36.0     -19.3     -19.4
   61      .0    35.0     -20.4     -20.4
   63      .0    34.0     -21.6     -21.6
   65      .0    33.0     -23.1     -23.1
   67      .0    32.0     -25.0     -25.0
   69      .0    31.0     -27.5     -27.5
   71      .0    30.0     -30.7     -30.8
   73      .0    29.0     -35.4     -35.4
   75      .0    28.0     -42.5     -42.5
   77      .0    27.0     -54.6     -54.3
   79      .0    26.0     -78.4     -76.2
   81      .0    25.0    -121.0    -115.5
   83      .0    24.0    -146.3    -144.9
   85      .0    23.0    -149.7    -149.6
   87      .0    22.0    -150.0    -150.0
   89      .0    21.0    -150.0    -150.0
   91      .0    20.0    -150.0    -150.0
   93      .0    18.0    -150.0    -150.0
   95      .0    16.0    -150.0    -150.0
   97      .0    14.0    -150.0    -150.0
   99      .0    12.0    -150.0    -150.0
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -150.0    -150.0
  107      .0     4.0    -149.8    -149.8
  109      .0     2.0    -149.4    -149.4
  111      .0      .0    -148.0    -148.0


 Time  ***   5400.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8        .6        .6
    5      .0    60.5        .4        .4
    7      .0    60.3        .3        .3
    9      .0    60.0        .1        .1
   11      .0    59.5       -.2       -.2
   13      .0    59.0       -.5       -.5
   15      .0    58.0      -1.2      -1.2
   17      .0    57.0      -1.8      -1.8
   19      .0    56.0      -2.5      -2.5
   21      .0    55.0      -3.1      -3.1
   23      .0    54.0      -3.7      -3.7
   25      .0    53.0      -4.4      -4.4
   27      .0    52.0      -5.0      -5.0
   29      .0    51.0      -5.7      -5.7
   31      .0    50.0      -6.3      -6.3
   33      .0    49.0      -7.0      -7.0
   35      .0    48.0      -7.6      -7.6
   37      .0    47.0      -8.3      -8.3
   39      .0    46.0      -8.9      -8.9
   41      .0    45.0      -9.5      -9.5
   43      .0    44.0     -10.1     -10.1
   45      .0    43.0     -10.8     -10.8
   47      .0    42.0     -11.4     -11.4
   49      .0    41.0     -12.0     -12.0
   51      .0    40.0     -12.6     -12.6
   53      .0    39.0     -13.2     -13.2
   55      .0    38.0     -13.7     -13.7
   57      .0    37.0     -14.3     -14.3
   59      .0    36.0     -14.9     -14.9
   61      .0    35.0     -15.4     -15.4
   63      .0    34.0     -16.0     -16.0
   65      .0    33.0     -16.5     -16.5
   67      .0    32.0     -17.0     -17.0
   69      .0    31.0     -17.6     -17.6
   71      .0    30.0     -18.1     -18.1
   73      .0    29.0     -18.8     -18.8
   75      .0    28.0     -19.5     -19.5
   77      .0    27.0     -20.3     -20.3
   79      .0    26.0     -21.3     -21.3
   81      .0    25.0     -22.5     -22.5
   83      .0    24.0     -23.9     -23.9
   85      .0    23.0     -25.6     -25.6
   87      .0    22.0     -27.8     -27.9
   89      .0    21.0     -30.8     -30.8
   91      .0    20.0     -34.8     -34.9
   93      .0    18.0     -48.7     -48.6
   95      .0    16.0     -81.9     -80.2
   97      .0    14.0    -137.1    -134.4
   99      .0    12.0    -149.5    -149.4
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -149.9    -149.9
  107      .0     4.0    -149.7    -149.7
  109      .0     2.0    -149.0    -149.0
  111      .0      .0    -147.4    -147.5
