 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***     90.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...
   41      .0    90.0     -63.0     -63.0
   43      .0    80.0     -53.0     -53.0
   45      .0    70.0     -43.0     -43.0
   47      .0    60.0     -33.0     -33.0
   49      .0    50.0     -23.0     -23.0
   51      .0    40.0     -13.0     -13.0
   53      .0    30.0      -3.0      -3.0
   55      .0    20.0       7.0       7.0
   57      .0    10.0      17.0      17.0
   59      .0     5.0      22.0      22.0
   61      .0     2.0      25.0      25.0
   63      .0     1.0      26.0      26.0
   65      .0      .0      27.0      27.0


 Time  ***    273.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0     -98.4     -98.4
    3      .0   229.0    -101.5    -101.5
    5      .0   228.0    -104.7    -104.7
    7      .0   226.0    -111.7    -111.7
    9      .0   224.0    -119.5    -119.5
   11      .0   220.0    -137.5    -137.5
   13      .0   215.0    -163.0    -163.0
   15      .0   210.0    -187.3    -187.3
   17      .0   205.0    -202.9    -202.9
   19      .0   200.0    -207.5    -207.5
   21      .0   190.0    -194.7    -194.7
   23      .0   180.0    -181.2    -181.2
   25      .0   170.0    -168.6    -168.6
   27      .0   160.0    -156.4    -156.4
   29      .0   150.0    -144.5    -144.5
   31      .0   140.0    -133.1    -133.1
   33      .0   130.0    -122.0    -122.0
   35      .0   120.0    -111.1    -111.1
   37      .0   110.0    -100.5    -100.5
   39      .0   100.0     -90.1     -90.1
   41      .0    90.0     -79.8     -79.8
   43      .0    80.0     -69.6     -69.6
   45      .0    70.0     -59.5     -59.5
   47      .0    60.0     -49.4     -49.4
   49      .0    50.0     -39.4     -39.4
   51      .0    40.0     -29.4     -29.4
   53      .0    30.0     -19.4     -19.4
   55      .0    20.0      -9.4      -9.4
   57      .0    10.0        .6        .6
   59      .0     5.0       5.6       5.6
   61      .0     2.0       8.6       8.6
   63      .0     1.0       9.6       9.6
   65      .0      .0      10.6      10.6
