 Example 2 - Grass Field Problem (Hupselse Beek 1982)                           
                      
 
 Program CHAIN_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    


 Time  ***     90.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...
   41      .0    90.0     -63.6     -63.6
   43      .0    80.0     -53.6     -53.6
   45      .0    70.0     -43.6     -43.6
   47      .0    60.0     -33.6     -33.6
   49      .0    50.0     -23.6     -23.6
   51      .0    40.0     -13.6     -13.6
   53      .0    30.0      -3.6      -3.6
   55      .0    20.0       6.4       6.4
   57      .0    10.0      16.4      16.4
   59      .0     5.0      21.4      21.4
   61      .0     2.0      24.4      24.4
   63      .0     1.0      25.4      25.4
   65      .0      .0      26.4      26.4


 Time  ***    273.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -103.1    -103.1
    3      .0   229.0    -106.6    -106.6
    5      .0   228.0    -110.3    -110.3
    7      .0   226.0    -118.1    -118.1
    9      .0   224.0    -126.7    -126.7
   11      .0   220.0    -145.1    -145.1
   13      .0   215.0    -168.5    -168.4
   15      .0   210.0    -188.1    -188.0
   17      .0   205.0    -200.3    -200.3
   19      .0   200.0    -204.4    -204.4
   21      .0   190.0    -194.3    -194.3
   23      .0   180.0    -181.6    -181.6
   25      .0   170.0    -169.3    -169.3
   27      .0   160.0    -157.2    -157.2
   29      .0   150.0    -145.4    -145.4
   31      .0   140.0    -134.0    -134.0
   33      .0   130.0    -122.9    -122.9
   35      .0   120.0    -112.0    -112.0
   37      .0   110.0    -101.4    -101.4
   39      .0   100.0     -91.0     -91.0
   41      .0    90.0     -80.7     -80.7
   43      .0    80.0     -70.5     -70.5
   45      .0    70.0     -60.4     -60.4
   47      .0    60.0     -50.3     -50.3
   49      .0    50.0     -40.2     -40.2
   51      .0    40.0     -30.2     -30.2
   53      .0    30.0     -20.2     -20.2
   55      .0    20.0     -10.2     -10.2
   57      .0    10.0       -.2       -.2
   59      .0     5.0       4.8       4.8
   61      .0     2.0       7.8       7.8
   63      .0     1.0       8.8       8.8
   65      .0      .0       9.8       9.8
