

     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     VOLUME-AVERAGED CONCENTRATIONS                              *
     *     Fig. 11: Exponential distribution about (5,0,0)             *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V                5.00
     R                1.00
     Dx              10.00
     Dy               5.00
     Dz               5.00

     dimensionless
     BETA              .50
     OMEGA            1.00
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   20.00
     Co =    1.00


     INITIAL VALUE PROBLEM    35
     =====================

     EXPONENTIAL INITIAL DISTRIBUTION FOR SPHERICAL GEOMETRY    x0=      5.00
       fe=      1.00    alpha=      2.00


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .000          1.000          1.000
     x              1.000           .000         40.000
     y              1.000           .000         40.000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
363    .013   .013    .030   .030    .021   .021    1.00    8.00   34.00     .00
364    .012   .012    .027   .027    .019   .019    1.00    8.00   35.00     .00
365    .011   .011    .024   .024    .017   .017    1.00    8.00   36.00     .00
366    .010   .010    .022   .022    .016   .016    1.00    8.00   37.00     .00
367    .009   .009    .020   .020    .014   .014    1.00    8.00   38.00     .00
368    .008   .008    .018   .018    .013   .013    1.00    8.00   39.00     .00
369    .007   .007    .016   .016    .012   .012    1.00    8.00   40.00     .00
370    .223   .223    .592   .592    .407   .407    1.00    9.00     .00     .00
371    .222   .222    .586   .586    .404   .404    1.00    9.00    1.00     .00
372    .218   .218    .568   .568    .393   .393    1.00    9.00    2.00     .00
373    .211   .211    .540   .540    .376   .376    1.00    9.00    3.00     .00
374    .203   .203    .508   .508    .356   .356    1.00    9.00    4.00     .00
375    .193   .193    .474   .474    .333   .333    1.00    9.00    5.00     .00
376    .182   .182    .438   .438    .310   .310    1.00    9.00    6.00     .00
377    .171   .171    .404   .404    .287   .287    1.00    9.00    7.00     .00
378    .159   .159    .370   .370    .265   .265    1.00    9.00    8.00     .00
379    .147   .147    .339   .339    .243   .243    1.00    9.00    9.00     .00
380    .136   .136    .310   .310    .223   .223    1.00    9.00   10.00     .00
381    .125   .125    .282   .282    .204   .204    1.00    9.00   11.00     .00
382    .115   .115    .257   .257    .186   .186    1.00    9.00   12.00     .00
383    .105   .105    .234   .234    .170   .170    1.00    9.00   13.00     .00
384    .096   .096    .213   .213    .154   .154    1.00    9.00   14.00     .00
385    .088   .088    .193   .193    .140   .140    1.00    9.00   15.00     .00
386    .080   .080    .176   .176    .128   .128    1.00    9.00   16.00     .00
387    .073   .073    .159   .159    .116   .116    1.00    9.00   17.00     .00
388    .066   .066    .145   .145    .105   .105    1.00    9.00   18.00     .00
389    .060   .060    .131   .131    .096   .096    1.00    9.00   19.00     .00
390    .055   .055    .119   .119    .087   .087    1.00    9.00   20.00     .00
391    .050   .050    .108   .108    .079   .079    1.00    9.00   21.00     .00
392    .045   .045    .098   .098    .071   .071    1.00    9.00   22.00     .00
393    .041   .041    .089   .089    .065   .065    1.00    9.00   23.00     .00
394    .037   .037    .080   .080    .059   .059    1.00    9.00   24.00     .00
395    .034   .034    .073   .073    .053   .053    1.00    9.00   25.00     .00
396    .031   .031    .066   .066    .048   .048    1.00    9.00   26.00     .00
397    .028   .028    .060   .060    .044   .044    1.00    9.00   27.00     .00
398    .025   .025    .054   .054    .040   .040    1.00    9.00   28.00     .00
399    .023   .023    .049   .049    .036   .036    1.00    9.00   29.00     .00
400    .021   .021    .044   .044    .033   .033    1.00    9.00   30.00     .00
401    .019   .019    .040   .040    .029   .029    1.00    9.00   31.00     .00
402    .017   .017    .036   .036    .027   .027    1.00    9.00   32.00     .00
403    .015   .015    .033   .033    .024   .024    1.00    9.00   33.00     .00
404    .014   .014    .030   .030    .022   .022    1.00    9.00   34.00     .00
405    .013   .013    .027   .027    .020   .020    1.00    9.00   35.00     .00
406    .011   .011    .025   .025    .018   .018    1.00    9.00   36.00     .00
407    .010   .010    .022   .022    .016   .016    1.00    9.00   37.00     .00
408    .009   .009    .020   .020    .015   .015    1.00    9.00   38.00     .00
409    .009   .009    .018   .018    .013   .013    1.00    9.00   39.00     .00
410    .008   .008    .016   .016    .012   .012    1.00    9.00   40.00     .00
411    .236   .236    .556   .556    .396   .396    1.00   10.00     .00     .00
412    .235   .235    .551   .551    .393   .393    1.00   10.00    1.00     .00
413    .231   .231    .537   .537    .384   .384    1.00   10.00    2.00     .00
414    .224   .224    .515   .515    .369   .369    1.00   10.00    3.00     .00
415    .215   .215    .487   .487    .351   .351    1.00   10.00    4.00     .00
416    .205   .205    .457   .457    .331   .331    1.00   10.00    5.00     .00
417    .194   .194    .425   .425    .309   .309    1.00   10.00    6.00     .00
418    .182   .182    .393   .393    .288   .288    1.00   10.00    7.00     .00
419    .170   .170    .362   .362    .266   .266    1.00   10.00    8.00     .00
420    .157   .157    .333   .333    .245   .245    1.00   10.00    9.00     .00
421    .145   .145    .305   .305    .225   .225    1.00   10.00   10.00     .00
422    .134   .134    .279   .279    .206   .206    1.00   10.00   11.00     .00
423    .123   .123    .254   .254    .189   .189    1.00   10.00   12.00     .00
424    .113   .113    .232   .232    .172   .172    1.00   10.00   13.00     .00
425    .103   .103    .211   .211    .157   .157    1.00   10.00   14.00     .00
426    .094   .094    .192   .192    .143   .143    1.00   10.00   15.00     .00
427    .086   .086    .175   .175    .130   .130    1.00   10.00   16.00     .00
428    .078   .078    .159   .159    .118   .118    1.00   10.00   17.00     .00
429    .071   .071    .144   .144    .108   .108    1.00   10.00   18.00     .00
430    .065   .065    .131   .131    .098   .098    1.00   10.00   19.00     .00
431    .059   .059    .119   .119    .089   .089    1.00   10.00   20.00     .00
432    .053   .053    .108   .108    .081   .081    1.00   10.00   21.00     .00
433    .048   .048    .098   .098    .073   .073    1.00   10.00   22.00     .00
434    .044   .044    .089   .089    .066   .066    1.00   10.00   23.00     .00
435    .040   .040    .081   .081    .060   .060    1.00   10.00   24.00     .00
436    .036   .036    .073   .073    .055   .055    1.00   10.00   25.00     .00
437    .033   .033    .066   .066    .050   .050    1.00   10.00   26.00     .00
438    .030   .030    .060   .060    .045   .045    1.00   10.00   27.00     .00
439    .027   .027    .054   .054    .041   .041    1.00   10.00   28.00     .00
440    .024   .024    .049   .049    .037   .037    1.00   10.00   29.00     .00
441    .022   .022    .045   .045    .033   .033    1.00   10.00   30.00     .00
442    .020   .020    .040   .040    .030   .030    1.00   10.00   31.00     .00
443    .018   .018    .037   .037    .027   .027    1.00   10.00   32.00     .00
444    .017   .017    .033   .033    .025   .025    1.00   10.00   33.00     .00
445    .015   .015    .030   .030    .023   .023    1.00   10.00   34.00     .00
446    .014   .014    .027   .027    .020   .020    1.00   10.00   35.00     .00
447    .012   .012    .025   .025    .018   .018    1.00   10.00   36.00     .00
448    .011   .011    .022   .022    .017   .017    1.00   10.00   37.00     .00
449    .010   .010    .020   .020    .015   .015    1.00   10.00   38.00     .00
450    .009   .009    .018   .018    .014   .014    1.00   10.00   39.00     .00
451    .008   .008    .017   .017    .012   .012    1.00   10.00   40.00     .00
452    .248   .248    .522   .522    .385   .385    1.00   11.00     .00     .00
453    .247   .247    .518   .518    .382   .382    1.00   11.00    1.00     .00
454    .243   .243    .506   .506    .374   .374    1.00   11.00    2.00     .00
455    .236   .236    .487   .487    .361   .361    1.00   11.00    3.00     .00
456    .227   .227    .463   .463    .345   .345    1.00   11.00    4.00     .00
457    .216   .216    .437   .437    .327   .327    1.00   11.00    5.00     .00
458    .205   .205    .409   .409    .307   .307    1.00   11.00    6.00     .00
459    .192   .192    .380   .380    .286   .286    1.00   11.00    7.00     .00
460    .179   .179    .351   .351    .265   .265    1.00   11.00    8.00     .00
461    .167   .167    .324   .324    .245   .245    1.00   11.00    9.00     .00
462    .154   .154    .297   .297    .226   .226    1.00   11.00   10.00     .00
463    .142   .142    .273   .273    .207   .207    1.00   11.00   11.00     .00
464    .130   .130    .249   .249    .190   .190    1.00   11.00   12.00     .00
465    .119   .119    .228   .228    .174   .174    1.00   11.00   13.00     .00
466    .109   .109    .208   .208    .159   .159    1.00   11.00   14.00     .00
467    .100   .100    .190   .190    .145   .145    1.00   11.00   15.00     .00
468    .091   .091    .173   .173    .132   .132    1.00   11.00   16.00     .00
469    .083   .083    .157   .157    .120   .120    1.00   11.00   17.00     .00
470    .075   .075    .143   .143    .109   .109    1.00   11.00   18.00     .00
471    .069   .069    .130   .130    .099   .099    1.00   11.00   19.00     .00
472    .062   .062    .118   .118    .090   .090    1.00   11.00   20.00     .00
473    .057   .057    .107   .107    .082   .082    1.00   11.00   21.00     .00
474    .051   .051    .097   .097    .074   .074    1.00   11.00   22.00     .00
475    .047   .047    .088   .088    .068   .068    1.00   11.00   23.00     .00
476    .042   .042    .080   .080    .061   .061    1.00   11.00   24.00     .00
477    .039   .039    .073   .073    .056   .056    1.00   11.00   25.00     .00
478    .035   .035    .066   .066    .050   .050    1.00   11.00   26.00     .00
479    .032   .032    .060   .060    .046   .046    1.00   11.00   27.00     .00
480    .029   .029    .054   .054    .042   .042    1.00   11.00   28.00     .00
481    .026   .026    .049   .049    .038   .038    1.00   11.00   29.00     .00
482    .024   .024    .045   .045    .034   .034    1.00   11.00   30.00     .00
483    .021   .021    .040   .040    .031   .031    1.00   11.00   31.00     .00
484    .019   .019    .037   .037    .028   .028    1.00   11.00   32.00     .00
485    .018   .018    .033   .033    .025   .025    1.00   11.00   33.00     .00
486    .016   .016    .030   .030    .023   .023    1.00   11.00   34.00     .00
487    .014   .014    .027   .027    .021   .021    1.00   11.00   35.00     .00
488    .013   .013    .025   .025    .019   .019    1.00   11.00   36.00     .00
489    .012   .012    .022   .022    .017   .017    1.00   11.00   37.00     .00
490    .011   .011    .020   .020    .016   .016    1.00   11.00   38.00     .00
491    .010   .010    .018   .018    .014   .014    1.00   11.00   39.00     .00
492    .009   .009    .017   .017    .013   .013    1.00   11.00   40.00     .00
493    .259   .259    .488   .488    .373   .373    1.00   12.00     .00     .00
494    .257   .257    .485   .485    .371   .371    1.00   12.00    1.00     .00
495    .253   .253    .475   .475    .364   .364    1.00   12.00    2.00     .00
496    .246   .246    .459   .459    .352   .352    1.00   12.00    3.00     .00
497    .237   .237    .439   .439    .338   .338    1.00   12.00    4.00     .00
498    .226   .226    .415   .415    .321   .321    1.00   12.00    5.00     .00
499    .214   .214    .390   .390    .302   .302    1.00   12.00    6.00     .00
500    .201   .201    .364   .364    .283   .283    1.00   12.00    7.00     .00
501    .188   .188    .338   .338    .263   .263    1.00   12.00    8.00     .00
502    .175   .175    .313   .313    .244   .244    1.00   12.00    9.00     .00
503    .161   .161    .288   .288    .225   .225    1.00   12.00   10.00     .00
504    .149   .149    .265   .265    .207   .207    1.00   12.00   11.00     .00
505    .137   .137    .243   .243    .190   .190    1.00   12.00   12.00     .00
506    .125   .125    .223   .223    .174   .174    1.00   12.00   13.00     .00
507    .115   .115    .203   .203    .159   .159    1.00   12.00   14.00     .00
508    .105   .105    .186   .186    .145   .145    1.00   12.00   15.00     .00
509    .096   .096    .170   .170    .133   .133    1.00   12.00   16.00     .00
510    .087   .087    .154   .154    .121   .121    1.00   12.00   17.00     .00
511    .079   .079    .141   .141    .110   .110    1.00   12.00   18.00     .00
512    .072   .072    .128   .128    .100   .100    1.00   12.00   19.00     .00
513    .066   .066    .117   .117    .091   .091    1.00   12.00   20.00     .00
514    .060   .060    .106   .106    .083   .083    1.00   12.00   21.00     .00
515    .054   .054    .096   .096    .075   .075    1.00   12.00   22.00     .00
516    .049   .049    .087   .087    .068   .068    1.00   12.00   23.00     .00
517    .045   .045    .079   .079    .062   .062    1.00   12.00   24.00     .00
518    .041   .041    .072   .072    .056   .056    1.00   12.00   25.00     .00
519    .037   .037    .065   .065    .051   .051    1.00   12.00   26.00     .00
520    .033   .033    .059   .059    .046   .046    1.00   12.00   27.00     .00
521    .030   .030    .054   .054    .042   .042    1.00   12.00   28.00     .00
522    .027   .027    .049   .049    .038   .038    1.00   12.00   29.00     .00
523    .025   .025    .044   .044    .035   .035    1.00   12.00   30.00     .00
524    .023   .023    .040   .040    .031   .031    1.00   12.00   31.00     .00
525    .020   .020    .036   .036    .028   .028    1.00   12.00   32.00     .00
526    .019   .019    .033   .033    .026   .026    1.00   12.00   33.00     .00
527    .017   .017    .030   .030    .023   .023    1.00   12.00   34.00     .00
528    .015   .015    .027   .027    .021   .021    1.00   12.00   35.00     .00
529    .014   .014    .025   .025    .019   .019    1.00   12.00   36.00     .00
530    .013   .013    .022   .022    .017   .017    1.00   12.00   37.00     .00
531    .011   .011    .020   .020    .016   .016    1.00   12.00   38.00     .00
532    .010   .010    .018   .018    .014   .014    1.00   12.00   39.00     .00
533    .009   .009    .017   .017    .013   .013    1.00   12.00   40.00     .00
534    .267   .267    .455   .455    .361   .361    1.00   13.00     .00     .00
535    .266   .266    .452   .452    .359   .359    1.00   13.00    1.00     .00
536    .261   .261    .444   .444    .353   .353    1.00   13.00    2.00     .00
537    .254   .254    .430   .430    .342   .342    1.00   13.00    3.00     .00
538    .245   .245    .413   .413    .329   .329    1.00   13.00    4.00     .00
539    .234   .234    .393   .393    .313   .313    1.00   13.00    5.00     .00
540    .222   .222    .370   .370    .296   .296    1.00   13.00    6.00     .00
541    .209   .209    .347   .347    .278   .278    1.00   13.00    7.00     .00
542    .195   .195    .323   .323    .259   .259    1.00   13.00    8.00     .00
543    .181   .181    .300   .300    .241   .241    1.00   13.00    9.00     .00
544    .168   .168    .277   .277    .223   .223    1.00   13.00   10.00     .00
545    .155   .155    .256   .256    .205   .205    1.00   13.00   11.00     .00
546    .142   .142    .235   .235    .189   .189    1.00   13.00   12.00     .00
547    .131   .131    .216   .216    .173   .173    1.00   13.00   13.00     .00
548    .119   .119    .198   .198    .159   .159    1.00   13.00   14.00     .00
549    .109   .109    .181   .181    .145   .145    1.00   13.00   15.00     .00
550    .100   .100    .165   .165    .133   .133    1.00   13.00   16.00     .00
551    .091   .091    .151   .151    .121   .121    1.00   13.00   17.00     .00
552    .083   .083    .138   .138    .110   .110    1.00   13.00   18.00     .00
553    .075   .075    .126   .126    .100   .100    1.00   13.00   19.00     .00
554    .069   .069    .114   .114    .091   .091    1.00   13.00   20.00     .00
555    .062   .062    .104   .104    .083   .083    1.00   13.00   21.00     .00
556    .057   .057    .095   .095    .076   .076    1.00   13.00   22.00     .00
557    .051   .051    .086   .086    .069   .069    1.00   13.00   23.00     .00
558    .047   .047    .078   .078    .063   .063    1.00   13.00   24.00     .00
559    .042   .042    .071   .071    .057   .057    1.00   13.00   25.00     .00
560    .038   .038    .065   .065    .052   .052    1.00   13.00   26.00     .00
561    .035   .035    .059   .059    .047   .047    1.00   13.00   27.00     .00
562    .032   .032    .053   .053    .043   .043    1.00   13.00   28.00     .00
563    .029   .029    .048   .048    .039   .039    1.00   13.00   29.00     .00
564    .026   .026    .044   .044    .035   .035    1.00   13.00   30.00     .00
565    .024   .024    .040   .040    .032   .032    1.00   13.00   31.00     .00
566    .021   .021    .036   .036    .029   .029    1.00   13.00   32.00     .00
567    .019   .019    .033   .033    .026   .026    1.00   13.00   33.00     .00
568    .018   .018    .030   .030    .024   .024    1.00   13.00   34.00     .00
569    .016   .016    .027   .027    .021   .021    1.00   13.00   35.00     .00
570    .014   .014    .024   .024    .019   .019    1.00   13.00   36.00     .00
571    .013   .013    .022   .022    .018   .018    1.00   13.00   37.00     .00
572    .012   .012    .020   .020    .016   .016    1.00   13.00   38.00     .00
573    .011   .011    .018   .018    .014   .014    1.00   13.00   39.00     .00
574    .010   .010    .017   .017    .013   .013    1.00   13.00   40.00     .00
575    .273   .273    .424   .424    .349   .349    1.00   14.00     .00     .00
576    .272   .272    .421   .421    .347   .347    1.00   14.00    1.00     .00
577    .268   .268    .414   .414    .341   .341    1.00   14.00    2.00     .00
578    .261   .261    .402   .402    .331   .331    1.00   14.00    3.00     .00
579    .251   .251    .387   .387    .319   .319    1.00   14.00    4.00     .00
580    .240   .240    .369   .369    .305   .305    1.00   14.00    5.00     .00
581    .228   .228    .350   .350    .289   .289    1.00   14.00    6.00     .00
582    .214   .214    .329   .329    .272   .272    1.00   14.00    7.00     .00
583    .200   .200    .308   .308    .254   .254    1.00   14.00    8.00     .00
584    .186   .186    .286   .286    .236   .236    1.00   14.00    9.00     .00
585    .173   .173    .266   .266    .219   .219    1.00   14.00   10.00     .00
586    .159   .159    .245   .245    .202   .202    1.00   14.00   11.00     .00
587    .147   .147    .226   .226    .187   .187    1.00   14.00   12.00     .00
588    .135   .135    .208   .208    .171   .171    1.00   14.00   13.00     .00
589    .123   .123    .191   .191    .157   .157    1.00   14.00   14.00     .00
590    .113   .113    .175   .175    .144   .144    1.00   14.00   15.00     .00
591    .103   .103    .161   .161    .132   .132    1.00   14.00   16.00     .00
592    .094   .094    .147   .147    .120   .120    1.00   14.00   17.00     .00
593    .086   .086    .134   .134    .110   .110    1.00   14.00   18.00     .00
594    .078   .078    .122   .122    .100   .100    1.00   14.00   19.00     .00
595    .071   .071    .112   .112    .091   .091    1.00   14.00   20.00     .00
596    .064   .064    .102   .102    .083   .083    1.00   14.00   21.00     .00
597    .059   .059    .093   .093    .076   .076    1.00   14.00   22.00     .00
598    .053   .053    .084   .084    .069   .069    1.00   14.00   23.00     .00
599    .048   .048    .077   .077    .063   .063    1.00   14.00   24.00     .00
600    .044   .044    .070   .070    .057   .057    1.00   14.00   25.00     .00
601    .040   .040    .064   .064    .052   .052    1.00   14.00   26.00     .00
602    .036   .036    .058   .058    .047   .047    1.00   14.00   27.00     .00
603    .033   .033    .052   .052    .043   .043    1.00   14.00   28.00     .00
604    .030   .030    .048   .048    .039   .039    1.00   14.00   29.00     .00
605    .027   .027    .043   .043    .035   .035    1.00   14.00   30.00     .00
606    .025   .025    .039   .039    .032   .032    1.00   14.00   31.00     .00
607    .022   .022    .036   .036    .029   .029    1.00   14.00   32.00     .00
608    .020   .020    .032   .032    .026   .026    1.00   14.00   33.00     .00
609    .018   .018    .029   .029    .024   .024    1.00   14.00   34.00     .00
610    .017   .017    .027   .027    .022   .022    1.00   14.00   35.00     .00
611    .015   .015    .024   .024    .020   .020    1.00   14.00   36.00     .00
612    .014   .014    .022   .022    .018   .018    1.00   14.00   37.00     .00
613    .012   .012    .020   .020    .016   .016    1.00   14.00   38.00     .00
614    .011   .011    .018   .018    .015   .015    1.00   14.00   39.00     .00
615    .010   .010    .016   .016    .013   .013    1.00   14.00   40.00     .00
616    .277   .277    .393   .393    .335   .335    1.00   15.00     .00     .00
617    .276   .276    .391   .391    .333   .333    1.00   15.00    1.00     .00
618    .271   .271    .385   .385    .328   .328    1.00   15.00    2.00     .00
619    .264   .264    .375   .375    .320   .320    1.00   15.00    3.00     .00
620    .255   .255    .362   .362    .308   .308    1.00   15.00    4.00     .00
621    .244   .244    .346   .346    .295   .295    1.00   15.00    5.00     .00
622    .231   .231    .329   .329    .280   .280    1.00   15.00    6.00     .00
623    .218   .218    .310   .310    .264   .264    1.00   15.00    7.00     .00
624    .204   .204    .291   .291    .247   .247    1.00   15.00    8.00     .00
625    .190   .190    .272   .272    .231   .231    1.00   15.00    9.00     .00
626    .176   .176    .253   .253    .214   .214    1.00   15.00   10.00     .00
627    .163   .163    .234   .234    .198   .198    1.00   15.00   11.00     .00
628    .150   .150    .217   .217    .183   .183    1.00   15.00   12.00     .00
629    .138   .138    .200   .200    .169   .169    1.00   15.00   13.00     .00
630    .126   .126    .184   .184    .155   .155    1.00   15.00   14.00     .00
631    .115   .115    .169   .169    .142   .142    1.00   15.00   15.00     .00
632    .105   .105    .155   .155    .130   .130    1.00   15.00   16.00     .00
633    .096   .096    .142   .142    .119   .119    1.00   15.00   17.00     .00
634    .088   .088    .130   .130    .109   .109    1.00   15.00   18.00     .00
635    .080   .080    .119   .119    .099   .099    1.00   15.00   19.00     .00
636    .073   .073    .108   .108    .091   .091    1.00   15.00   20.00     .00
637    .066   .066    .099   .099    .083   .083    1.00   15.00   21.00     .00
638    .060   .060    .090   .090    .075   .075    1.00   15.00   22.00     .00
639    .055   .055    .082   .082    .068   .068    1.00   15.00   23.00     .00
640    .050   .050    .075   .075    .062   .062    1.00   15.00   24.00     .00
641    .045   .045    .068   .068    .057   .057    1.00   15.00   25.00     .00
642    .041   .041    .062   .062    .052   .052    1.00   15.00   26.00     .00
643    .037   .037    .057   .057    .047   .047    1.00   15.00   27.00     .00
644    .034   .034    .051   .051    .043   .043    1.00   15.00   28.00     .00
645    .031   .031    .047   .047    .039   .039    1.00   15.00   29.00     .00
646    .028   .028    .042   .042    .035   .035    1.00   15.00   30.00     .00
647    .025   .025    .039   .039    .032   .032    1.00   15.00   31.00     .00
648    .023   .023    .035   .035    .029   .029    1.00   15.00   32.00     .00
649    .021   .021    .032   .032    .026   .026    1.00   15.00   33.00     .00
650    .019   .019    .029   .029    .024   .024    1.00   15.00   34.00     .00
651    .017   .017    .026   .026    .022   .022    1.00   15.00   35.00     .00
652    .015   .015    .024   .024    .020   .020    1.00   15.00   36.00     .00
653    .014   .014    .022   .022    .018   .018    1.00   15.00   37.00     .00
654    .013   .013    .020   .020    .016   .016    1.00   15.00   38.00     .00
655    .011   .011    .018   .018    .015   .015    1.00   15.00   39.00     .00
656    .010   .010    .016   .016    .013   .013    1.00   15.00   40.00     .00
657    .278   .278    .364   .364    .321   .321    1.00   16.00     .00     .00
658    .277   .277    .362   .362    .320   .320    1.00   16.00    1.00     .00
659    .273   .273    .357   .357    .315   .315    1.00   16.00    2.00     .00
660    .266   .266    .348   .348    .307   .307    1.00   16.00    3.00     .00
661    .256   .256    .337   .337    .297   .297    1.00   16.00    4.00     .00
662    .245   .245    .323   .323    .284   .284    1.00   16.00    5.00     .00
663    .233   .233    .308   .308    .270   .270    1.00   16.00    6.00     .00
664    .220   .220    .291   .291    .255   .255    1.00   16.00    7.00     .00
665    .206   .206    .274   .274    .240   .240    1.00   16.00    8.00     .00
666    .192   .192    .257   .257    .224   .224    1.00   16.00    9.00     .00
667    .178   .178    .239   .239    .209   .209    1.00   16.00   10.00     .00
668    .164   .164    .223   .223    .194   .194    1.00   16.00   11.00     .00
669    .152   .152    .206   .206    .179   .179    1.00   16.00   12.00     .00
670    .139   .139    .191   .191    .165   .165    1.00   16.00   13.00     .00
671    .128   .128    .176   .176    .152   .152    1.00   16.00   14.00     .00
672    .117   .117    .162   .162    .139   .139    1.00   16.00   15.00     .00
673    .107   .107    .149   .149    .128   .128    1.00   16.00   16.00     .00
674    .098   .098    .137   .137    .117   .117    1.00   16.00   17.00     .00
675    .089   .089    .125   .125    .107   .107    1.00   16.00   18.00     .00
676    .081   .081    .115   .115    .098   .098    1.00   16.00   19.00     .00
677    .074   .074    .105   .105    .089   .089    1.00   16.00   20.00     .00
678    .067   .067    .096   .096    .082   .082    1.00   16.00   21.00     .00
679    .061   .061    .088   .088    .074   .074    1.00   16.00   22.00     .00
680    .056   .056    .080   .080    .068   .068    1.00   16.00   23.00     .00
681    .051   .051    .073   .073    .062   .062    1.00   16.00   24.00     .00
682    .046   .046    .066   .066    .056   .056    1.00   16.00   25.00     .00
683    .042   .042    .061   .061    .051   .051    1.00   16.00   26.00     .00
684    .038   .038    .055   .055    .047   .047    1.00   16.00   27.00     .00
685    .034   .034    .050   .050    .042   .042    1.00   16.00   28.00     .00
686    .031   .031    .046   .046    .038   .038    1.00   16.00   29.00     .00
687    .028   .028    .042   .042    .035   .035    1.00   16.00   30.00     .00
688    .026   .026    .038   .038    .032   .032    1.00   16.00   31.00     .00
689    .023   .023    .034   .034    .029   .029    1.00   16.00   32.00     .00
690    .021   .021    .031   .031    .026   .026    1.00   16.00   33.00     .00
691    .019   .019    .028   .028    .024   .024    1.00   16.00   34.00     .00
692    .017   .017    .026   .026    .022   .022    1.00   16.00   35.00     .00
693    .016   .016    .023   .023    .020   .020    1.00   16.00   36.00     .00
694    .014   .014    .021   .021    .018   .018    1.00   16.00   37.00     .00
695    .013   .013    .019   .019    .016   .016    1.00   16.00   38.00     .00
696    .012   .012    .018   .018    .015   .015    1.00   16.00   39.00     .00
697    .011   .011    .016   .016    .013   .013    1.00   16.00   40.00     .00
698    .277   .277    .336   .336    .306   .306    1.00   17.00     .00     .00
699    .275   .275    .335   .335    .305   .305    1.00   17.00    1.00     .00
700    .271   .271    .330   .330    .301   .301    1.00   17.00    2.00     .00
701    .264   .264    .322   .322    .293   .293    1.00   17.00    3.00     .00
702    .255   .255    .312   .312    .284   .284    1.00   17.00    4.00     .00
703    .245   .245    .300   .300    .273   .273    1.00   17.00    5.00     .00
704    .232   .232    .287   .287    .260   .260    1.00   17.00    6.00     .00
705    .219   .219    .272   .272    .246   .246    1.00   17.00    7.00     .00
706    .206   .206    .257   .257    .231   .231    1.00   17.00    8.00     .00
707    .192   .192    .241   .241    .217   .217    1.00   17.00    9.00     .00
708    .178   .178    .226   .226    .202   .202    1.00   17.00   10.00     .00
709    .165   .165    .210   .210    .188   .188    1.00   17.00   11.00     .00
710    .152   .152    .196   .196    .174   .174    1.00   17.00   12.00     .00
711    .140   .140    .181   .181    .160   .160    1.00   17.00   13.00     .00
712    .128   .128    .168   .168    .148   .148    1.00   17.00   14.00     .00
713    .118   .118    .155   .155    .136   .136    1.00   17.00   15.00     .00
714    .108   .108    .142   .142    .125   .125    1.00   17.00   16.00     .00
715    .098   .098    .131   .131    .115   .115    1.00   17.00   17.00     .00
716    .090   .090    .120   .120    .105   .105    1.00   17.00   18.00     .00
717    .082   .082    .110   .110    .096   .096    1.00   17.00   19.00     .00
718    .075   .075    .101   .101    .088   .088    1.00   17.00   20.00     .00
719    .068   .068    .092   .092    .080   .080    1.00   17.00   21.00     .00
720    .062   .062    .085   .085    .073   .073    1.00   17.00   22.00     .00
721    .056   .056    .077   .077    .067   .067    1.00   17.00   23.00     .00
722    .051   .051    .071   .071    .061   .061    1.00   17.00   24.00     .00
723    .046   .046    .064   .064    .055   .055    1.00   17.00   25.00     .00
724    .042   .042    .059   .059    .050   .050    1.00   17.00   26.00     .00
725    .038   .038    .054   .054    .046   .046    1.00   17.00   27.00     .00
726    .035   .035    .049   .049    .042   .042    1.00   17.00   28.00     .00
727    .032   .032    .044   .044    .038   .038    1.00   17.00   29.00     .00
728    .029   .029    .040   .040    .035   .035    1.00   17.00   30.00     .00
729    .026   .026    .037   .037    .031   .031    1.00   17.00   31.00     .00
730    .024   .024    .033   .033    .029   .029    1.00   17.00   32.00     .00
731    .021   .021    .030   .030    .026   .026    1.00   17.00   33.00     .00
732    .019   .019    .028   .028    .024   .024    1.00   17.00   34.00     .00
733    .018   .018    .025   .025    .021   .021    1.00   17.00   35.00     .00
734    .016   .016    .023   .023    .019   .019    1.00   17.00   36.00     .00
735    .014   .014    .021   .021    .018   .018    1.00   17.00   37.00     .00
736    .013   .013    .019   .019    .016   .016    1.00   17.00   38.00     .00
737    .012   .012    .017   .017    .015   .015    1.00   17.00   39.00     .00
738    .011   .011    .016   .016    .013   .013    1.00   17.00   40.00     .00
739    .273   .273    .310   .310    .291   .291    1.00   18.00     .00     .00
740    .271   .271    .308   .308    .290   .290    1.00   18.00    1.00     .00
741    .267   .267    .304   .304    .286   .286    1.00   18.00    2.00     .00
742    .261   .261    .298   .298    .279   .279    1.00   18.00    3.00     .00
743    .252   .252    .289   .289    .271   .271    1.00   18.00    4.00     .00
744    .242   .242    .279   .279    .260   .260    1.00   18.00    5.00     .00
